Instance,Best dual bound,Best primal bound,Gap (%)
5-60-120-20-2,47543630,52770314,9.904591433736776
5-60-120-20-3,41594898,45331560,8.242959209874979
5-60-120-30-1,42598989,45138573,5.626194696052977
5-60-120-30-2,40526703,48605779,16.62163669879666
5-60-120-30-3,40755219,48554185,16.06239709306211
5-60-120-40-1,35725661,37281162,4.172351172959687
5-60-120-40-2,33804223,38815388,12.910253531408733
5-60-120-40-3,48130195,53868083,10.6517397324126
5-60-120-50-1,48908619,50754884,3.6376105203983933
5-60-120-50-2,36426675,39536102,7.864778879819767
5-60-120-50-3,31478747,36021276,12.610683197341476
5-60-150-10-1,65449949,67519971,3.0657921935422605
5-60-150-10-2,88178952,97828834,9.864046831019168
5-60-150-10-3,93671469,104055991,9.97974446276717
5-60-150-20-1,57542295,59371459,3.0808810004146925
5-60-150-20-2,78781488,90343476,12.797811764515233
5-60-150-20-3,57363707,67667048,15.226526506668359
5-60-150-30-1,62882840,64786863,2.9389029069056827
5-60-150-30-2,56083310,61947483,9.466362015063634
5-60-150-30-3,62792631,69456050,9.593720057503985
5-60-150-40-1,81577315,84891137,3.903613636368186
5-60-150-40-2,77594007,85738152,9.49885763807925
5-60-150-40-3,60970456,69896577,12.77046943228708
5-60-150-50-1,60930118,63685282,4.326217790791908
5-60-150-50-2,74083398,77993020,5.0127844773801495
5-60-150-50-3,54190346,60972634,11.123495173260844
5-60-180-10-1,76273152,78268873,2.549827183534381
5-60-180-10-2,69569213,74503110,6.622404084876454
5-60-180-10-3,77817132,83761717,7.097019035557739
5-60-180-20-1,78387406,79735352,1.690524925506065
5-60-180-20-2,77038700,84030872,8.320956136216218
5-60-180-20-3,59591785,67037742,11.107111871399244
5-60-180-30-1,92042398,95070234,3.1848412195977116
5-60-180-30-2,119280968,129415834,7.831241113819198
5-60-180-30-3,61532785,69112952,10.967795153649352
5-60-180-40-1,63534734,68052021,6.6379909569474815
5-60-180-40-2,61145462,66822241,8.495343638654685
5-60-180-40-3,70684627,81687243,13.469197387406007
5-60-180-50-1,60740411,62600614,2.97154114175302
5-60-180-50-2,47961131,55637080,13.796462718748003
5-60-180-50-3,57335098,65421781,12.360842025991314
5-90-60-10-1,55911502,58391003,4.246375079393649
5-90-60-10-2,60091442,69599166,13.660686681216838
5-90-60-10-3,79103486,92760643,14.723008118863511
5-90-60-20-1,51138941,57377091,10.872196361436304
5-90-60-20-2,31778648,37373817,14.97082569864352
5-90-60-20-3,42093187,47689346,11.734610493505194
5-90-60-30-1,46903970,50347025,6.838646374835456
5-90-60-30-2,48199512,53609651,10.091725834962062
5-90-60-30-3,56472745,62921504,10.24889519487646
5-90-60-40-1,37305922,39495220,5.543197379328435
5-90-60-40-2,49143930,52757596,6.849565321361495
5-90-60-40-3,47778611,55509886,13.927744330082037
5-90-60-50-1,63167647,68383265,7.627038574423139
5-90-60-50-2,29939413,37337441,19.813966361540412
5-90-60-50-3,54206730,60979025,11.105941756202231
5-90-90-10-1,43873889,47961596,8.52287526044796
5-90-90-10-2,64562830,71090408,9.182079810260756
5-90-90-10-3,57709254,64257159,10.190156399538298
5-90-90-20-1,54379542,59421475,8.485035082013702
5-90-90-20-2,67406182,77862749,13.429486030604954
5-90-90-20-3,81196865,92239499,11.971697721385066
5-90-90-30-1,78386908,81470042,3.784377575256437
5-90-90-30-2,64241308,74392784,13.645780483225368
5-90-90-30-3,80955275,90534841,10.581082259812003
5-90-90-40-1,82717030,87878140,5.873030539790669
5-90-90-40-2,77108276,84548320,8.799753797591725
5-90-90-40-3,102334165,112814234,9.28966906782348
5-90-90-50-1,74678174,82988604,10.013941191250787
5-90-90-50-2,84573901,97067505,12.871046803974206
5-90-90-50-3,56645954,65259517,13.198937712027503
5-90-120-10-1,109834401,113675823,3.379277931420821
5-90-120-10-2,72411716,79246281,8.624461506275605
5-90-120-10-3,127284690,138673431,8.212633752459764
5-90-120-20-1,95453327,100857966,5.3586634892081815
5-90-120-20-2,108547271,121779932,10.866044004688725
5-90-120-20-3,106898250,119991727,10.911983123636515
5-90-120-30-1,99912805,108565513,7.970033725166481
5-90-120-30-2,56977925,67702656,15.840930967316847
5-90-120-30-3,64660823,73862945,12.458374087304536
5-90-120-40-1,83281637,90315551,7.7881537809584955
5-90-120-40-2,80067303,90759524,11.780825337955713
5-90-120-40-3,86214742,97033058,11.149103432358077
5-90-120-50-1,124938679,134721812,7.261729080662905
5-90-120-50-2,98852177,106780908,7.425232795360759
5-90-120-50-3,32204381,38286352,15.885480549309062
5-90-150-10-1,77814026,79804447,2.4941229152305233
5-90-150-10-2,165155763,178340082,7.39279630924472
5-90-150-10-3,55177657,64506541,14.46191945092824
5-90-150-20-1,62281288,64832584,3.9352064079383298
5-90-150-20-2,125574893,135557830,7.364338157375339
5-90-150-20-3,158767173,177083535,10.343345585460561
5-90-150-30-1,112109463,118675848,5.533042409774902
5-90-150-30-2,113194269,132971610,14.873356049460485
